date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:12	289078/289078	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:11%20GMT	https://www.apple.com/uk/environment/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/environment/index.html	(from https://www.apple.com/uk/)
19:28:12	50590/50590	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:11%20GMT	https://www.apple.com/uk/healthcare/health-records/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/healthcare/health-records/index.html	(from https://www.apple.com/uk/)
19:28:12	413/413	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_iphone_image__ko7x4isga4ia_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_iphone_image__ko7x4isga4ia_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:12	576/576	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_iphone_image__ko7x4isga4ia_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_iphone_image__ko7x4isga4ia_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:13	439/439	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_watch_image__gkoblojrlsqe_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_watch_image__gkoblojrlsqe_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:13	603/603	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_watch_image__gkoblojrlsqe_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_watch_image__gkoblojrlsqe_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:13	81561/81561	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:12%20GMT	https://www.apple.com/uk/privacy/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/privacy/index.html	(from https://www.apple.com/uk/)
19:28:13	496/496	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_airpods_image__f969s84ivmaa_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_airpods_image__f969s84ivmaa_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:13	709/709	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_airpods_image__f969s84ivmaa_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_airpods_image__f969s84ivmaa_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:14	403/403	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_tvhome_image__zb2ewyxbi6ae_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_tvhome_image__zb2ewyxbi6ae_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:14	1400/1400	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_tvhome_image__zb2ewyxbi6ae_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_tvhome_image__zb2ewyxbi6ae_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:14	431/431	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_accessories_image__edj0wqmfwxyu_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_accessories_image__edj0wqmfwxyu_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:14	123301/123301	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:13%20GMT	https://www.apple.com/uk/supplier-responsibility/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/supplier-responsibility/index.html	(from https://www.apple.com/uk/)
